policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,27.992457961823447,1.0,16.836628825899723,0.3,32.60000000000019,inf,32.3687075279102,5.0,19.841899941429155,0.22,32.60000000000019,,,,,,,inf,51.73189190810915,15.0,20.012680425373652,0.16,32.60000000000019
inf,27.99097240738977,1.0,16.837292474550175,0.3,32.700000000000195,inf,32.36776261623531,5.0,19.842178964462967,0.22,32.700000000000195,,,,,,,inf,51.73037252107109,15.0,20.01504208026505,0.16,32.700000000000195
inf,27.989486852956087,1.0,16.83795834912691,0.3,32.800000000000196,inf,32.366817704560425,5.0,19.842458502054352,0.22,32.800000000000196,,,,,,,inf,51.72885313403303,15.0,20.017405647731486,0.16,32.800000000000196
inf,27.98800129852241,1.0,16.838626449365872,0.3,32.9000000000002,inf,32.36587279288554,5.0,19.842738554181558,0.22,32.9000000000002,,,,,,,inf,51.72733374699499,15.0,20.019771127095563,0.16,32.9000000000002
inf,27.986515744088727,1.0,16.839296775002136,0.3,33.0000000000002,inf,32.364927881210654,5.0,19.843019120822802,0.22,33.0000000000002,,,,,,,inf,51.725814359956914,15.0,20.022138517679643,0.16,33.0000000000002
inf,27.98503018965505,1.0,16.83996932576996,0.3,33.1000000000002,inf,32.36398296953576,5.0,19.843300201956264,0.22,33.1000000000002,,,,,,,inf,51.72429497291887,15.0,20.02450781880587,0.16,33.1000000000002
inf,27.98354463522137,1.0,16.840644101402752,0.3,33.2000000000002,inf,32.36303805786088,5.0,19.843581797560077,0.22,33.2000000000002,,,,,,,inf,51.72277558588081,15.0,20.02687902979615,0.16,33.2000000000002
inf,27.98205908078769,1.0,16.84132110163309,0.3,33.3000000000002,inf,32.36209314618599,5.0,19.843863907612338,0.22,33.3000000000002,,,,,,,inf,51.72125619884275,15.0,20.02925214997218,0.16,33.3000000000002
inf,27.980573526354007,1.0,16.842000326192693,0.3,33.400000000000205,inf,32.3611482345111,5.0,19.844146532091106,0.22,33.400000000000205,,,,,,,inf,51.719736811804694,15.0,20.031627178655416,0.16,33.400000000000205
inf,27.979087971920325,1.0,16.842681774812466,0.3,33.500000000000206,inf,32.36020332283621,5.0,19.844429670974403,0.22,33.500000000000206,,,,,,,inf,51.718217424766635,15.0,20.034004115167107,0.16,33.500000000000206
inf,27.977602417486647,1.0,16.843365447222464,0.3,33.60000000000021,inf,32.35925841116133,5.0,19.844713324240214,0.22,33.60000000000021,,,,,,,inf,51.71669803772859,15.0,20.036382958828266,0.16,33.60000000000021
inf,27.97611686305297,1.0,16.844051343151904,0.3,33.70000000000021,inf,32.35831349948644,5.0,19.84499749186648,0.22,33.70000000000021,,,,,,,inf,51.71517865069052,15.0,20.038763708959685,0.16,33.70000000000021
