gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,459.40000000003596,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,459.500000000036,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,459.600000000036,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,459.700000000036,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,459.80000000003605,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,459.9000000000361,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.0000000000361,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.1000000000361,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.20000000003614,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.30000000003616,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.4000000000362,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.5000000000362,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.60000000003623,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,inf,40.666666666666664,8.0,23.612614331233114,0.15,460.70000000003625,,,,,,
