gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.2000000000006,4.0,2.62,1.0,0.9141115905621151,1.0,61.2000000000006,4.0,2.82,1.0,0.7922120928135343,1.0,61.2000000000006,4.0,2.78,1.0,0.9651942809610923,1.0,61.2000000000006,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.2000000000006,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.2000000000006
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.3000000000006,4.0,2.62,1.0,0.9141115905621151,1.0,61.3000000000006,4.0,2.82,1.0,0.7922120928135343,1.0,61.3000000000006,4.0,2.78,1.0,0.9651942809610923,1.0,61.3000000000006,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.3000000000006,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.3000000000006
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.4000000000006,4.0,2.62,1.0,0.9141115905621151,1.0,61.4000000000006,4.0,2.82,1.0,0.7922120928135343,1.0,61.4000000000006,4.0,2.78,1.0,0.9651942809610923,1.0,61.4000000000006,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.4000000000006,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.4000000000006
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.500000000000604,4.0,2.62,1.0,0.9141115905621151,1.0,61.500000000000604,4.0,2.82,1.0,0.7922120928135343,1.0,61.500000000000604,4.0,2.78,1.0,0.9651942809610923,1.0,61.500000000000604,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.500000000000604,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.500000000000604
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.600000000000605,4.0,2.62,1.0,0.9141115905621151,1.0,61.600000000000605,4.0,2.82,1.0,0.7922120928135343,1.0,61.600000000000605,4.0,2.78,1.0,0.9651942809610923,1.0,61.600000000000605,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.600000000000605,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.600000000000605
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.70000000000061,4.0,2.62,1.0,0.9141115905621151,1.0,61.70000000000061,4.0,2.82,1.0,0.7922120928135343,1.0,61.70000000000061,4.0,2.78,1.0,0.9651942809610923,1.0,61.70000000000061,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.70000000000061,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.70000000000061
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.80000000000061,4.0,2.62,1.0,0.9141115905621151,1.0,61.80000000000061,4.0,2.82,1.0,0.7922120928135343,1.0,61.80000000000061,4.0,2.78,1.0,0.9651942809610923,1.0,61.80000000000061,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.80000000000061,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.80000000000061
inf,18.829787234042552,3.0,10.87906275088573,0.94,61.90000000000061,4.0,2.62,1.0,0.9141115905621151,1.0,61.90000000000061,4.0,2.82,1.0,0.7922120928135343,1.0,61.90000000000061,4.0,2.78,1.0,0.9651942809610923,1.0,61.90000000000061,inf,23.88888888888889,13.0,17.110389595177708,0.4,61.90000000000061,inf,17.32608695652174,3.0,10.363091589713294,0.92,61.90000000000061
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.00000000000061,4.0,2.62,1.0,0.9141115905621151,1.0,62.00000000000061,4.0,2.82,1.0,0.7922120928135343,1.0,62.00000000000061,4.0,2.78,1.0,0.9651942809610923,1.0,62.00000000000061,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.00000000000061,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.00000000000061
inf,18.829787234042552,3.0,10.87906275088573,0.94,62.10000000000061,4.0,2.62,1.0,0.9141115905621151,1.0,62.10000000000061,4.0,2.82,1.0,0.7922120928135343,1.0,62.10000000000061,4.0,2.78,1.0,0.9651942809610923,1.0,62.10000000000061,inf,23.88888888888889,13.0,17.110389595177708,0.4,62.10000000000061,inf,17.32608695652174,3.0,10.363091589713294,0.92,62.10000000000061
