gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,58.73913043478261,4.0,35.91199072043661,0.92,12.89999999999997,55.0,26.14,8.0,10.162696492565345,1.0,12.89999999999997,56.0,23.02,5.0,9.902504733651988,1.0,12.89999999999997,40.0,21.36,1.0,10.08912285582845,1.0,12.89999999999997,inf,64.75,1.0,32.884456814732395,0.8,12.89999999999997
inf,58.73913043478261,4.0,35.91199072043661,0.92,12.99999999999997,55.0,26.14,8.0,10.162696492565345,1.0,12.99999999999997,56.0,23.02,5.0,9.902504733651988,1.0,12.99999999999997,40.0,21.36,1.0,10.08912285582845,1.0,12.99999999999997,inf,64.75,1.0,32.884456814732395,0.8,12.99999999999997
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.09999999999997,55.0,26.14,8.0,10.162696492565345,1.0,13.09999999999997,56.0,23.02,5.0,9.902504733651988,1.0,13.09999999999997,40.0,21.36,1.0,10.08912285582845,1.0,13.09999999999997,inf,64.75,1.0,32.884456814732395,0.8,13.09999999999997
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.199999999999969,55.0,26.14,8.0,10.162696492565345,1.0,13.199999999999969,56.0,23.02,5.0,9.902504733651988,1.0,13.199999999999969,40.0,21.36,1.0,10.08912285582845,1.0,13.199999999999969,inf,64.75,1.0,32.884456814732395,0.8,13.199999999999969
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.299999999999969,55.0,26.14,8.0,10.162696492565345,1.0,13.299999999999969,56.0,23.02,5.0,9.902504733651988,1.0,13.299999999999969,40.0,21.36,1.0,10.08912285582845,1.0,13.299999999999969,inf,64.75,1.0,32.884456814732395,0.8,13.299999999999969
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.399999999999968,55.0,26.14,8.0,10.162696492565345,1.0,13.399999999999968,56.0,23.02,5.0,9.902504733651988,1.0,13.399999999999968,40.0,21.36,1.0,10.08912285582845,1.0,13.399999999999968,inf,64.75,1.0,32.884456814732395,0.8,13.399999999999968
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.499999999999968,55.0,26.14,8.0,10.162696492565345,1.0,13.499999999999968,56.0,23.02,5.0,9.902504733651988,1.0,13.499999999999968,40.0,21.36,1.0,10.08912285582845,1.0,13.499999999999968,inf,64.75,1.0,32.884456814732395,0.8,13.499999999999968
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.599999999999968,55.0,26.14,8.0,10.162696492565345,1.0,13.599999999999968,56.0,23.02,5.0,9.902504733651988,1.0,13.599999999999968,40.0,21.36,1.0,10.08912285582845,1.0,13.599999999999968,inf,64.75,1.0,32.884456814732395,0.8,13.599999999999968
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.699999999999967,55.0,26.14,8.0,10.162696492565345,1.0,13.699999999999967,56.0,23.02,5.0,9.902504733651988,1.0,13.699999999999967,40.0,21.36,1.0,10.08912285582845,1.0,13.699999999999967,inf,64.75,1.0,32.884456814732395,0.8,13.699999999999967
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.799999999999967,55.0,26.14,8.0,10.162696492565345,1.0,13.799999999999967,56.0,23.02,5.0,9.902504733651988,1.0,13.799999999999967,40.0,21.36,1.0,10.08912285582845,1.0,13.799999999999967,inf,64.75,1.0,32.884456814732395,0.8,13.799999999999967
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.899999999999967,55.0,26.14,8.0,10.162696492565345,1.0,13.899999999999967,56.0,23.02,5.0,9.902504733651988,1.0,13.899999999999967,40.0,21.36,1.0,10.08912285582845,1.0,13.899999999999967,inf,64.75,1.0,32.884456814732395,0.8,13.899999999999967
inf,58.73913043478261,4.0,35.91199072043661,0.92,13.999999999999966,55.0,26.14,8.0,10.162696492565345,1.0,13.999999999999966,56.0,23.02,5.0,9.902504733651988,1.0,13.999999999999966,40.0,21.36,1.0,10.08912285582845,1.0,13.999999999999966,inf,64.75,1.0,32.884456814732395,0.8,13.999999999999966
inf,58.73913043478261,4.0,35.91199072043661,0.92,14.099999999999966,55.0,26.14,8.0,10.162696492565345,1.0,14.099999999999966,56.0,23.02,5.0,9.902504733651988,1.0,14.099999999999966,40.0,21.36,1.0,10.08912285582845,1.0,14.099999999999966,inf,64.75,1.0,32.884456814732395,0.8,14.099999999999966
inf,58.73913043478261,4.0,35.91199072043661,0.92,14.199999999999966,55.0,26.14,8.0,10.162696492565345,1.0,14.199999999999966,56.0,23.02,5.0,9.902504733651988,1.0,14.199999999999966,40.0,21.36,1.0,10.08912285582845,1.0,14.199999999999966,inf,64.75,1.0,32.884456814732395,0.8,14.199999999999966
inf,58.73913043478261,4.0,35.91199072043661,0.92,14.299999999999965,55.0,26.14,8.0,10.162696492565345,1.0,14.299999999999965,56.0,23.02,5.0,9.902504733651988,1.0,14.299999999999965,40.0,21.36,1.0,10.08912285582845,1.0,14.299999999999965,inf,64.75,1.0,32.884456814732395,0.8,14.299999999999965
